,durations_s
456,0.067907
457,0.067897
458,0.068139
459,0.068068
460,0.067966
461,0.067957
462,0.067827
463,0.067873
464,0.067902
465,0.067866
466,0.068145
467,0.067733
468,0.06768
469,0.067803
470,0.067733
471,0.06784
472,0.06792
473,0.068094
474,0.06819
475,0.067826
476,0.067824
477,0.06777
478,0.06788
479,0.067979
480,0.068038
481,0.067918
482,0.067904
483,0.067738
484,0.067733
485,0.067907
486,0.067773
487,0.067801
488,0.067781
489,0.068006
490,0.068241
491,0.068127
492,0.067952
493,0.067949
494,0.067873
495,0.068161
496,0.067804
497,0.067745
498,0.068161
499,0.067788
