,durations_s
456,0.130376
457,0.128954
458,0.130193
459,0.129068
460,0.129278
461,0.130762
462,0.129063
463,0.130156
464,0.129284
465,0.129366
466,0.130233
467,0.128867
468,0.129674
469,0.129891
470,0.129265
471,0.130349
472,0.129074
473,0.1299
474,0.129063
475,0.12927
476,0.130121
477,0.129138
478,0.130233
479,0.129929
480,0.129174
481,0.130494
482,0.128843
483,0.129801
484,0.130008
485,0.129154
486,0.130251
487,0.129181
488,0.130278
489,0.130891
490,0.129847
491,0.129549
492,0.129053
493,0.130438
494,0.129256
495,0.12941
496,0.130475
497,0.128919
498,0.130401
499,0.129164
