,durations_s
0,0.268568
1,0.091929
2,0.088752
3,0.087079
4,0.079166
5,0.081219
6,0.081279
7,0.078274
8,0.079262
9,0.079025
10,0.075634
11,0.078919
12,0.075191
13,0.074908
14,0.074955
15,0.074488
16,0.074713
17,0.073871
18,0.074312
19,0.074082
20,0.074284
21,0.074398
22,0.074179
23,0.074137
24,0.073932
25,0.073885
26,0.073768
27,0.074099
28,0.073806
29,0.074459
30,0.073878
31,0.073799
32,0.073945
33,0.073504
34,0.073589
35,0.072481
36,0.072558
37,0.072992
38,0.075311
39,0.073111
40,0.072862
41,0.072764
42,0.072677
43,0.072642
44,0.072578
45,0.072789
46,0.072963
47,0.073115
48,0.072879
49,0.072104
50,0.0726
51,0.072221
52,0.072174
53,0.072997
54,0.073027
55,0.073083
56,0.073432
57,0.072937
58,0.072821
59,0.073024
60,0.073821
61,0.073261
62,0.073711
63,0.074256
64,0.074088
65,0.073867
66,0.073813
67,0.073856
68,0.07335
69,0.073838
70,0.07335
71,0.074402
72,0.073903
73,0.074366
74,0.07479
75,0.074768
76,0.073953
77,0.073657
78,0.073657
79,0.073891
80,0.074237
81,0.073723
82,0.073375
83,0.074348
84,0.07342
85,0.073726
86,0.073604
87,0.074001
88,0.073928
89,0.073843
90,0.073944
91,0.074159
92,0.074512
93,0.073865
94,0.07336
95,0.073682
96,0.073603
97,0.073384
98,0.073307
99,0.073432
100,0.074129
101,0.075084
102,0.074278
103,0.074177
104,0.073973
105,0.073697
106,0.074197
107,0.073906
108,0.074752
109,0.074604
110,0.074636
111,0.074316
112,0.074137
113,0.073622
114,0.073328
115,0.073732
116,0.073923
117,0.074537
118,0.073985
119,0.074951
120,0.074109
121,0.074197
122,0.074197
123,0.07422
124,0.075569
125,0.074111
126,0.074116
127,0.074289
128,0.074884
129,0.07429
130,0.074396
131,0.074545
132,0.074125
133,0.074519
134,0.074127
135,0.074181
136,0.0742
137,0.074714
138,0.074422
139,0.074354
140,0.074469
141,0.074267
142,0.074028
143,0.074328
144,0.074727
145,0.073961
146,0.074376
147,0.074345
148,0.07365
149,0.074314
150,0.07399
151,0.074682
152,0.074012
153,0.074298
154,0.074966
155,0.074882
156,0.074319
157,0.074432
158,0.074518
159,0.074258
160,0.074196
161,0.073903
162,0.076835
163,0.074989
164,0.075172
165,0.07445
166,0.07399
167,0.074262
168,0.073788
169,0.074527
170,0.074067
171,0.074576
172,0.074453
173,0.074493
174,0.074179
175,0.074019
176,0.07419
177,0.073572
178,0.073943
179,0.07375
180,0.074056
181,0.074715
182,0.074261
183,0.074192
184,0.07475
185,0.074605
186,0.074334
187,0.074639
188,0.073954
189,0.075077
190,0.074615
191,0.075179
192,0.074571
193,0.073805
194,0.073598
195,0.073799
196,0.073773
197,0.074283
198,0.074373
199,0.073956
200,0.074795
201,0.074566
202,0.073881
203,0.074317
204,0.075332
205,0.07418
206,0.074553
207,0.074295
208,0.074028
209,0.07443
210,0.073772
211,0.073867
212,0.073719
213,0.074067
214,0.073981
215,0.073777
216,0.074943
217,0.074387
218,0.074651
219,0.074574
220,0.073819
221,0.074081
222,0.074317
223,0.074663
224,0.074292
225,0.073784
226,0.07397
227,0.074102
228,0.07396
229,0.07399
230,0.073937
231,0.074254
232,0.073905
233,0.074255
234,0.074307
235,0.074266
236,0.074362
237,0.074736
238,0.073873
239,0.07384
240,0.073945
241,0.073784
242,0.073496
243,0.073795
244,0.073985
245,0.074441
246,0.0743
247,0.073985
248,0.073966
249,0.074647
250,0.075124
251,0.074589
252,0.080917
253,0.074408
254,0.074624
255,0.074511
256,0.074111
257,0.073915
258,0.073811
259,0.073808
260,0.073887
261,0.074242
262,0.074297
263,0.074602
264,0.074543
265,0.074448
266,0.07427
267,0.074418
268,0.074204
269,0.074135
270,0.074229
271,0.075352
272,0.07523
273,0.073865
274,0.073557
275,0.073774
276,0.073625
277,0.07398
278,0.074121
279,0.074036
280,0.074204
281,0.074657
282,0.074179
283,0.074197
284,0.073968
285,0.074237
286,0.073796
287,0.074243
288,0.074048
289,0.073952
290,0.0743
291,0.074363
292,0.073626
293,0.074061
294,0.074029
295,0.074657
296,0.074904
297,0.074576
298,0.07458
299,0.075041
300,0.074667
301,0.07406
302,0.074013
303,0.074111
304,0.074202
305,0.073572
306,0.073687
307,0.07391
308,0.074319
309,0.074252
310,0.074522
311,0.074173
312,0.074044
313,0.074146
314,0.074052
315,0.074598
316,0.074211
317,0.074512
318,0.074214
319,0.074175
320,0.074254
321,0.07372
322,0.074471
323,0.074336
324,0.074268
325,0.077012
326,0.075697
327,0.074675
328,0.07465
329,0.074333
330,0.074182
331,0.075295
332,0.074281
333,0.074302
334,0.07408
335,0.074577
336,0.074372
337,0.073736
338,0.073907
339,0.073654
340,0.073696
341,0.073926
342,0.074299
343,0.074289
344,0.074651
345,0.074307
346,0.073783
347,0.07428
348,0.073613
349,0.073723
350,0.073954
351,0.074233
352,0.073821
353,0.073952
354,0.073657
355,0.073647
356,0.073467
357,0.073888
358,0.073667
359,0.073809
360,0.07423
361,0.073959
362,0.074156
363,0.074415
364,0.073945
365,0.073844
366,0.0735
367,0.073743
368,0.074001
369,0.073961
370,0.074004
371,0.074503
372,0.073969
373,0.074369
374,0.074151
375,0.073643
376,0.073917
377,0.073739
378,0.074023
379,0.074094
380,0.074487
381,0.074302
382,0.073588
383,0.073915
384,0.073812
385,0.073461
386,0.073396
387,0.073538
388,0.073632
389,0.074306
390,0.074117
391,0.073843
392,0.073816
393,0.073701
394,0.073864
395,0.073989
396,0.074023
397,0.074157
398,0.075039
399,0.074958
400,0.074534
401,0.07423
402,0.073807
403,0.073809
404,0.073665
405,0.074464
406,0.074328
407,0.074646
408,0.074428
409,0.07436
410,0.074025
411,0.074451
412,0.074397
413,0.074078
414,0.074162
415,0.074447
416,0.074805
417,0.073944
