,durations_s
456,0.710911
457,0.711412
458,0.711092
459,0.710453
460,0.710925
461,0.711234
462,0.710317
463,0.711593
464,0.711435
465,0.710921
466,0.710806
467,0.710371
468,0.712519
469,0.710353
470,0.709335
471,0.711525
472,0.710296
473,0.710513
474,0.709515
475,0.710602
476,0.711081
477,0.70991
478,0.710664
479,0.710892
480,0.710149
481,0.710675
482,0.711364
483,0.710953
484,0.71029
485,0.71028
486,0.711006
487,0.711106
488,0.710151
489,0.710819
490,0.711238
491,0.710129
492,0.710427
493,0.710402
494,0.711427
495,0.709624
496,0.709898
497,0.709962
498,0.710567
499,0.710071
