,durations_s
0,0.294125
1,0.070445
2,0.066659
3,0.067366
4,0.065325
5,0.067577
6,0.066904
7,0.064777
8,0.067027
9,0.064909
10,0.06735
11,0.066854
12,0.067058
13,0.064938
14,0.067085
15,0.06477
16,0.066893
17,0.066593
18,0.065036
19,0.06716
20,0.065968
21,0.067277
22,0.064743
23,0.066813
24,0.064796
25,0.067453
26,0.066149
27,0.064962
28,0.066817
29,0.064721
30,0.066977
31,0.06467
32,0.066765
33,0.064792
34,0.067213
35,0.065248
36,0.067017
37,0.064847
38,0.066981
39,0.065171
40,0.067278
41,0.06494
42,0.066828
43,0.064527
44,0.066714
45,0.064578
46,0.066639
47,0.065685
48,0.067461
49,0.064922
50,0.06703
51,0.064663
52,0.066787
53,0.06482
54,0.066963
55,0.064969
56,0.066894
57,0.066424
58,0.068657
59,0.064535
60,0.066652
61,0.064822
62,0.066764
63,0.06456
64,0.066669
65,0.064796
66,0.066718
67,0.064735
68,0.066605
69,0.064789
70,0.066612
71,0.064632
72,0.066767
73,0.064643
74,0.067317
75,0.064612
76,0.068852
77,0.065244
78,0.066678
79,0.06444
80,0.066662
81,0.064643
82,0.067084
83,0.065955
84,0.064478
85,0.066543
86,0.064408
87,0.066629
88,0.064418
89,0.066831
90,0.064552
91,0.066807
92,0.064544
93,0.066651
94,0.064402
95,0.066606
96,0.064533
97,0.067114
98,0.065809
99,0.064551
100,0.067
101,0.064808
102,0.064175
103,0.059178
104,0.063822
105,0.059076
106,0.063725
107,0.059281
108,0.063854
109,0.059205
110,0.063851
111,0.059157
112,0.056404
113,0.056587
114,0.064375
115,0.059469
116,0.063723
117,0.059184
118,0.056331
119,0.063851
120,0.05935
121,0.063923
122,0.05942
123,0.064017
124,0.059345
125,0.05659
126,0.064046
127,0.059152
128,0.06399
129,0.059602
130,0.064061
131,0.059595
132,0.064191
133,0.059337
134,0.064657
135,0.059657
136,0.057269
137,0.057109
138,0.06405
139,0.059255
140,0.064022
141,0.059795
142,0.064018
143,0.059243
144,0.063903
145,0.059659
146,0.064053
147,0.059785
148,0.063995
149,0.059281
150,0.056525
151,0.064092
152,0.059331
153,0.06394
154,0.060171
155,0.064259
156,0.059348
157,0.057085
158,0.057037
159,0.063665
160,0.059291
161,0.064667
162,0.059582
163,0.063929
164,0.059344
165,0.056486
166,0.063915
167,0.059228
168,0.063836
169,0.059328
170,0.063883
171,0.059236
172,0.056811
173,0.064211
174,0.059309
175,0.063913
176,0.059151
177,0.064065
178,0.059672
179,0.056845
180,0.06393
181,0.059127
182,0.063918
183,0.059229
184,0.064087
185,0.059212
186,0.063909
187,0.059346
188,0.063785
189,0.059353
190,0.063892
191,0.059251
192,0.063827
193,0.059595
194,0.057786
195,0.065209
196,0.059327
197,0.063984
198,0.059276
199,0.0638
200,0.059379
201,0.063951
202,0.059389
203,0.056793
