,timestamp
0,2025-08-29T18:56:43.774931
1,2025-08-29T18:56:44.184024
2,2025-08-29T18:56:44.655469
3,2025-08-29T18:56:44.977859
4,2025-08-29T18:56:45.479134
5,2025-08-29T18:56:45.782276
6,2025-08-29T18:56:46.192863
7,2025-08-29T18:56:46.545565
8,2025-08-29T18:56:46.952131
9,2025-08-29T18:56:47.239750
10,2025-08-29T18:56:47.626911
11,2025-08-29T18:56:47.938878
12,2025-08-29T18:56:48.317254
13,2025-08-29T18:56:48.619017
14,2025-08-29T18:56:49.000845
15,2025-08-29T18:56:49.313402
16,2025-08-29T18:56:49.673232
17,2025-08-29T18:56:50.034808
18,2025-08-29T18:56:50.421331
19,2025-08-29T18:56:50.711161
20,2025-08-29T18:56:51.135451
21,2025-08-29T18:56:51.468974
22,2025-08-29T18:56:51.799860
23,2025-08-29T18:56:52.146017
24,2025-08-29T18:56:52.512023
25,2025-08-29T18:56:52.847739
26,2025-08-29T18:56:53.241057
27,2025-08-29T18:56:53.607554
28,2025-08-29T18:56:54.003728
29,2025-08-29T18:56:54.366439
30,2025-08-29T18:56:54.694741
31,2025-08-29T18:56:55.055301
32,2025-08-29T18:56:55.384445
33,2025-08-29T18:56:55.771651
34,2025-08-29T18:56:56.090010
35,2025-08-29T18:56:56.462349
36,2025-08-29T18:56:56.792428
37,2025-08-29T18:56:57.191191
38,2025-08-29T18:56:57.641656
39,2025-08-29T18:56:57.997825
40,2025-08-29T18:56:58.379760
41,2025-08-29T18:56:58.689462
42,2025-08-29T18:56:59.007555
43,2025-08-29T18:56:59.309352
44,2025-08-29T18:56:59.661841
45,2025-08-29T18:56:59.930206
46,2025-08-29T18:57:00.314937
47,2025-08-29T18:57:00.626590
48,2025-08-29T18:57:00.939518
49,2025-08-29T18:57:01.284921
50,2025-08-29T18:57:01.601038
51,2025-08-29T18:57:01.958638
52,2025-08-29T18:57:02.303431
53,2025-08-29T18:57:02.667916
54,2025-08-29T18:57:03.011044
55,2025-08-29T18:57:03.326947
56,2025-08-29T18:57:03.742820
57,2025-08-29T18:57:04.093070
58,2025-08-29T18:57:04.425518
59,2025-08-29T18:57:04.761388
60,2025-08-29T18:57:05.104988
61,2025-08-29T18:57:05.483970
62,2025-08-29T18:57:05.842709
63,2025-08-29T18:57:06.177710
64,2025-08-29T18:57:06.499426
65,2025-08-29T18:57:06.847710
66,2025-08-29T18:57:07.158936
67,2025-08-29T18:57:07.524845
68,2025-08-29T18:57:07.997197
69,2025-08-29T18:57:08.313416
70,2025-08-29T18:57:08.631124
71,2025-08-29T18:57:08.961745
72,2025-08-29T18:57:09.331131
73,2025-08-29T18:57:09.704731
74,2025-08-29T18:57:09.948247
75,2025-08-29T18:57:10.324097
76,2025-08-29T18:57:10.693275
77,2025-08-29T18:57:11.170333
78,2025-08-29T18:57:11.612147
79,2025-08-29T18:57:12.136617
80,2025-08-29T18:57:12.994040
81,2025-08-29T18:57:13.697132
82,2025-08-29T18:57:14.245181
83,2025-08-29T18:57:14.830146
84,2025-08-29T18:57:15.450667
85,2025-08-29T18:57:15.980206
86,2025-08-29T18:57:16.409469
87,2025-08-29T18:57:16.863074
88,2025-08-29T18:57:17.193002
89,2025-08-29T18:57:17.569705
90,2025-08-29T18:57:17.903943
91,2025-08-29T18:57:18.299947
92,2025-08-29T18:57:18.750399
93,2025-08-29T18:57:19.136225
94,2025-08-29T18:57:19.446028
95,2025-08-29T18:57:19.841558
96,2025-08-29T18:57:20.154439
97,2025-08-29T18:57:20.525067
98,2025-08-29T18:57:20.836627
99,2025-08-29T18:57:21.164979
100,2025-08-29T18:57:21.448985
101,2025-08-29T18:57:21.793457
102,2025-08-29T18:57:22.089028
103,2025-08-29T18:57:22.435694
104,2025-08-29T18:57:22.751522
105,2025-08-29T18:57:23.110683
106,2025-08-29T18:57:23.403496
107,2025-08-29T18:57:23.730161
108,2025-08-29T18:57:24.044853
109,2025-08-29T18:57:24.347761
110,2025-08-29T18:57:24.657523
111,2025-08-29T18:57:24.958484
112,2025-08-29T18:57:25.332134
113,2025-08-29T18:57:25.657799
114,2025-08-29T18:57:25.957302
115,2025-08-29T18:57:26.271578
116,2025-08-29T18:57:26.604813
117,2025-08-29T18:57:26.936396
118,2025-08-29T18:57:27.225716
119,2025-08-29T18:57:27.599326
120,2025-08-29T18:57:27.913618
121,2025-08-29T18:57:28.258692
122,2025-08-29T18:57:28.607733
123,2025-08-29T18:57:29.015333
124,2025-08-29T18:57:29.366653
125,2025-08-29T18:57:29.732538
126,2025-08-29T18:57:30.080576
127,2025-08-29T18:57:30.448032
128,2025-08-29T18:57:30.834227
129,2025-08-29T18:57:31.177924
130,2025-08-29T18:57:31.492914
131,2025-08-29T18:57:31.874321
132,2025-08-29T18:57:32.225183
133,2025-08-29T18:57:32.641438
134,2025-08-29T18:57:33.030356
135,2025-08-29T18:57:33.389736
136,2025-08-29T18:57:33.724256
137,2025-08-29T18:57:34.093960
138,2025-08-29T18:57:34.424226
139,2025-08-29T18:57:34.785838
140,2025-08-29T18:57:35.128251
141,2025-08-29T18:57:35.453960
142,2025-08-29T18:57:35.809511
143,2025-08-29T18:57:36.122426
144,2025-08-29T18:57:36.480635
145,2025-08-29T18:57:36.829197
146,2025-08-29T18:57:37.185900
147,2025-08-29T18:57:37.526618
148,2025-08-29T18:57:37.891145
149,2025-08-29T18:57:38.307108
150,2025-08-29T18:57:38.649954
151,2025-08-29T18:57:39.150460
152,2025-08-29T18:57:39.620368
153,2025-08-29T18:57:40.052332
154,2025-08-29T18:57:40.446740
155,2025-08-29T18:57:40.883936
156,2025-08-29T18:57:41.278915
157,2025-08-29T18:57:41.632410
158,2025-08-29T18:57:42.056050
159,2025-08-29T18:57:42.350841
160,2025-08-29T18:57:42.691039
161,2025-08-29T18:57:43.071959
162,2025-08-29T18:57:43.390607
163,2025-08-29T18:57:43.739435
164,2025-08-29T18:57:44.108503
165,2025-08-29T18:57:44.414000
166,2025-08-29T18:57:44.701980
167,2025-08-29T18:57:45.076240
168,2025-08-29T18:57:45.452405
169,2025-08-29T18:57:45.834674
170,2025-08-29T18:57:46.130380
171,2025-08-29T18:57:46.460627
172,2025-08-29T18:57:47.036423
173,2025-08-29T18:57:47.522439
174,2025-08-29T18:57:47.935362
175,2025-08-29T18:57:48.471030
176,2025-08-29T18:57:49.097586
177,2025-08-29T18:57:49.818338
178,2025-08-29T18:57:50.216153
179,2025-08-29T18:57:50.643368
180,2025-08-29T18:57:50.991027
181,2025-08-29T18:57:51.364146
182,2025-08-29T18:57:51.657902
183,2025-08-29T18:57:52.046508
184,2025-08-29T18:57:52.337760
185,2025-08-29T18:57:52.739614
186,2025-08-29T18:57:53.096678
187,2025-08-29T18:57:53.482491
188,2025-08-29T18:57:53.794553
189,2025-08-29T18:57:54.133730
190,2025-08-29T18:57:54.457788
191,2025-08-29T18:57:54.827359
192,2025-08-29T18:57:55.152728
193,2025-08-29T18:57:55.545736
194,2025-08-29T18:57:55.820412
195,2025-08-29T18:57:56.205662
196,2025-08-29T18:57:56.485358
197,2025-08-29T18:57:56.834194
198,2025-08-29T18:57:57.167237
199,2025-08-29T18:57:57.518191
200,2025-08-29T18:57:57.861089
201,2025-08-29T18:57:58.194618
202,2025-08-29T18:57:58.529041
203,2025-08-29T18:57:58.895358
204,2025-08-29T18:57:59.204966
205,2025-08-29T18:57:59.512542
206,2025-08-29T18:57:59.831933
207,2025-08-29T18:58:00.192326
208,2025-08-29T18:58:00.487913
209,2025-08-29T18:58:00.845453
210,2025-08-29T18:58:01.184675
211,2025-08-29T18:58:01.514807
212,2025-08-29T18:58:01.866488
213,2025-08-29T18:58:02.188381
214,2025-08-29T18:58:02.574399
215,2025-08-29T18:58:02.890959
216,2025-08-29T18:58:03.238954
217,2025-08-29T18:58:03.620318
218,2025-08-29T18:58:03.942135
219,2025-08-29T18:58:04.386385
220,2025-08-29T18:58:05.067974
221,2025-08-29T18:58:05.480328
222,2025-08-29T18:58:05.809773
223,2025-08-29T18:58:06.170951
224,2025-08-29T18:58:06.583157
225,2025-08-29T18:58:07.010022
226,2025-08-29T18:58:07.408506
227,2025-08-29T18:58:07.898855
228,2025-08-29T18:58:08.306919
229,2025-08-29T18:58:08.696426
230,2025-08-29T18:58:09.096192
231,2025-08-29T18:58:09.504108
232,2025-08-29T18:58:09.873267
233,2025-08-29T18:58:10.362627
234,2025-08-29T18:58:10.715484
235,2025-08-29T18:58:11.247925
236,2025-08-29T18:58:11.637264
237,2025-08-29T18:58:12.096027
238,2025-08-29T18:58:12.471178
239,2025-08-29T18:58:12.816445
240,2025-08-29T18:58:13.158612
241,2025-08-29T18:58:13.492651
242,2025-08-29T18:58:13.839936
243,2025-08-29T18:58:14.215632
244,2025-08-29T18:58:14.547930
245,2025-08-29T18:58:14.895934
246,2025-08-29T18:58:15.223845
247,2025-08-29T18:58:15.551679
248,2025-08-29T18:58:15.911031
249,2025-08-29T18:58:16.209205
250,2025-08-29T18:58:16.534167
251,2025-08-29T18:58:16.852622
252,2025-08-29T18:58:17.207153
253,2025-08-29T18:58:17.592855
254,2025-08-29T18:58:17.978878
255,2025-08-29T18:58:18.254537
256,2025-08-29T18:58:18.571475
257,2025-08-29T18:58:18.967940
258,2025-08-29T18:58:19.433161
259,2025-08-29T18:58:19.873864
260,2025-08-29T18:58:20.195278
261,2025-08-29T18:58:20.569016
262,2025-08-29T18:58:20.918867
263,2025-08-29T18:58:21.368209
264,2025-08-29T18:58:21.974088
265,2025-08-29T18:58:22.482136
266,2025-08-29T18:58:23.045165
267,2025-08-29T18:58:23.657145
268,2025-08-29T18:58:24.273636
269,2025-08-29T18:58:24.787702
270,2025-08-29T18:58:25.216642
271,2025-08-29T18:58:25.655264
272,2025-08-29T18:58:26.016325
273,2025-08-29T18:58:26.474183
274,2025-08-29T18:58:26.879515
275,2025-08-29T18:58:27.355583
276,2025-08-29T18:58:27.859565
277,2025-08-29T18:58:28.274505
278,2025-08-29T18:58:28.734812
279,2025-08-29T18:58:29.137226
280,2025-08-29T18:58:29.601731
281,2025-08-29T18:58:30.006463
282,2025-08-29T18:58:30.359774
283,2025-08-29T18:58:30.762632
284,2025-08-29T18:58:31.256923
285,2025-08-29T18:58:31.637430
286,2025-08-29T18:58:32.005964
287,2025-08-29T18:58:32.330652
288,2025-08-29T18:58:32.680996
289,2025-08-29T18:58:33.036842
290,2025-08-29T18:58:33.412496
291,2025-08-29T18:58:33.849636
292,2025-08-29T18:58:34.317239
293,2025-08-29T18:58:34.848434
294,2025-08-29T18:58:35.297712
295,2025-08-29T18:58:35.947939
296,2025-08-29T18:58:36.385517
297,2025-08-29T18:58:36.821570
298,2025-08-29T18:58:37.227868
299,2025-08-29T18:58:37.612213
300,2025-08-29T18:58:38.075632
301,2025-08-29T18:58:38.583702
302,2025-08-29T18:58:38.996290
303,2025-08-29T18:58:39.424474
304,2025-08-29T18:58:39.801852
305,2025-08-29T18:58:40.290696
306,2025-08-29T18:58:40.676137
307,2025-08-29T18:58:41.090275
308,2025-08-29T18:58:41.499337
309,2025-08-29T18:58:41.864498
310,2025-08-29T18:58:42.221506
311,2025-08-29T18:58:42.626811
312,2025-08-29T18:58:43.050334
313,2025-08-29T18:58:43.462017
314,2025-08-29T18:58:43.939341
315,2025-08-29T18:58:44.363043
316,2025-08-29T18:58:44.766900
317,2025-08-29T18:58:45.124308
318,2025-08-29T18:58:45.518620
319,2025-08-29T18:58:45.892371
320,2025-08-29T18:58:46.305876
321,2025-08-29T18:58:46.693969
322,2025-08-29T18:58:47.131931
323,2025-08-29T18:58:47.519638
324,2025-08-29T18:58:47.937419
325,2025-08-29T18:58:48.264251
326,2025-08-29T18:58:48.606482
327,2025-08-29T18:58:48.952310
328,2025-08-29T18:58:49.291805
329,2025-08-29T18:58:49.734790
330,2025-08-29T18:58:50.096843
331,2025-08-29T18:58:50.493026
332,2025-08-29T18:58:50.875843
333,2025-08-29T18:58:51.218477
334,2025-08-29T18:58:51.593440
335,2025-08-29T18:58:51.892042
336,2025-08-29T18:58:52.230276
337,2025-08-29T18:58:52.651544
338,2025-08-29T18:58:53.000292
339,2025-08-29T18:58:53.391980
340,2025-08-29T18:58:53.791408
341,2025-08-29T18:58:54.281012
342,2025-08-29T18:58:54.714683
343,2025-08-29T18:58:55.126791
344,2025-08-29T18:58:55.800131
345,2025-08-29T18:58:56.184592
346,2025-08-29T18:58:56.659958
347,2025-08-29T18:58:57.446701
348,2025-08-29T18:58:58.107513
349,2025-08-29T18:58:58.937030
350,2025-08-29T18:58:59.412106
351,2025-08-29T18:59:00.013232
352,2025-08-29T18:59:00.516059
353,2025-08-29T18:59:00.936907
354,2025-08-29T18:59:01.412097
355,2025-08-29T18:59:01.923568
356,2025-08-29T18:59:02.390727
357,2025-08-29T18:59:02.883005
358,2025-08-29T18:59:03.241523
359,2025-08-29T18:59:03.632927
360,2025-08-29T18:59:04.018660
361,2025-08-29T18:59:04.363595
362,2025-08-29T18:59:04.675830
363,2025-08-29T18:59:05.047444
364,2025-08-29T18:59:05.393217
365,2025-08-29T18:59:05.812317
366,2025-08-29T18:59:06.222012
367,2025-08-29T18:59:06.570269
368,2025-08-29T18:59:06.939457
369,2025-08-29T18:59:07.274283
370,2025-08-29T18:59:07.596925
371,2025-08-29T18:59:07.924709
372,2025-08-29T18:59:08.329842
373,2025-08-29T18:59:08.631254
374,2025-08-29T18:59:09.085970
375,2025-08-29T18:59:09.410349
376,2025-08-29T18:59:09.776066
377,2025-08-29T18:59:10.139595
378,2025-08-29T18:59:10.484998
379,2025-08-29T18:59:10.843308
380,2025-08-29T18:59:11.166297
381,2025-08-29T18:59:11.555075
382,2025-08-29T18:59:11.901652
383,2025-08-29T18:59:12.249625
384,2025-08-29T18:59:12.601022
385,2025-08-29T18:59:12.985116
386,2025-08-29T18:59:13.356663
387,2025-08-29T18:59:13.713733
388,2025-08-29T18:59:14.064655
389,2025-08-29T18:59:14.431162
390,2025-08-29T18:59:14.758355
391,2025-08-29T18:59:15.146302
392,2025-08-29T18:59:15.569539
393,2025-08-29T18:59:15.915459
394,2025-08-29T18:59:16.191665
395,2025-08-29T18:59:16.532422
396,2025-08-29T18:59:16.878706
397,2025-08-29T18:59:17.194162
398,2025-08-29T18:59:17.532801
399,2025-08-29T18:59:17.840833
400,2025-08-29T18:59:18.183738
401,2025-08-29T18:59:18.514766
402,2025-08-29T18:59:18.858075
403,2025-08-29T18:59:19.192336
404,2025-08-29T18:59:19.586733
405,2025-08-29T18:59:19.984534
406,2025-08-29T18:59:20.301200
407,2025-08-29T18:59:20.691121
408,2025-08-29T18:59:20.970566
409,2025-08-29T18:59:21.286993
410,2025-08-29T18:59:21.635237
411,2025-08-29T18:59:21.952578
412,2025-08-29T18:59:22.336292
413,2025-08-29T18:59:22.669800
414,2025-08-29T18:59:22.985515
415,2025-08-29T18:59:23.329731
416,2025-08-29T18:59:23.638221
417,2025-08-29T18:59:23.945956
418,2025-08-29T18:59:24.295145
419,2025-08-29T18:59:24.584756
420,2025-08-29T18:59:24.972532
421,2025-08-29T18:59:25.279786
422,2025-08-29T18:59:25.578042
423,2025-08-29T18:59:25.973628
424,2025-08-29T18:59:26.305185
425,2025-08-29T18:59:26.601370
426,2025-08-29T18:59:26.977846
427,2025-08-29T18:59:27.324679
428,2025-08-29T18:59:27.689856
429,2025-08-29T18:59:28.024276
430,2025-08-29T18:59:28.331187
431,2025-08-29T18:59:28.626015
432,2025-08-29T18:59:28.988575
433,2025-08-29T18:59:29.326072
434,2025-08-29T18:59:29.656445
435,2025-08-29T18:59:29.936852
436,2025-08-29T18:59:30.641853
437,2025-08-29T18:59:31.120954
438,2025-08-29T18:59:31.468216
439,2025-08-29T18:59:32.158901
440,2025-08-29T18:59:32.928206
441,2025-08-29T18:59:33.359951
442,2025-08-29T18:59:33.786625
443,2025-08-29T18:59:34.126513
444,2025-08-29T18:59:34.535901
445,2025-08-29T18:59:34.870186
446,2025-08-29T18:59:35.255944
447,2025-08-29T18:59:35.593555
448,2025-08-29T18:59:35.995936
449,2025-08-29T18:59:36.328072
450,2025-08-29T18:59:36.729164
451,2025-08-29T18:59:37.135915
452,2025-08-29T18:59:37.528357
453,2025-08-29T18:59:37.915338
454,2025-08-29T18:59:38.292898
455,2025-08-29T18:59:38.633029
456,2025-08-29T18:59:39.000387
457,2025-08-29T18:59:39.322092
458,2025-08-29T18:59:39.678478
459,2025-08-29T18:59:39.994493
460,2025-08-29T18:59:40.334579
461,2025-08-29T18:59:40.642463
462,2025-08-29T18:59:40.973736
463,2025-08-29T18:59:41.317362
464,2025-08-29T18:59:41.664801
465,2025-08-29T18:59:41.991151
466,2025-08-29T18:59:42.379450
467,2025-08-29T18:59:42.662527
468,2025-08-29T18:59:43.094456
469,2025-08-29T18:59:43.416584
470,2025-08-29T18:59:43.775578
471,2025-08-29T18:59:44.093454
472,2025-08-29T18:59:44.493097
473,2025-08-29T18:59:44.780776
474,2025-08-29T18:59:45.168032
475,2025-08-29T18:59:45.543580
476,2025-08-29T18:59:45.913946
477,2025-08-29T18:59:46.235995
478,2025-08-29T18:59:46.571534
479,2025-08-29T18:59:46.907977
480,2025-08-29T18:59:47.272957
481,2025-08-29T18:59:47.563458
482,2025-08-29T18:59:47.891450
483,2025-08-29T18:59:48.271340
484,2025-08-29T18:59:48.609618
485,2025-08-29T18:59:48.876930
486,2025-08-29T18:59:49.144170
487,2025-08-29T18:59:49.506279
488,2025-08-29T18:59:49.790189
489,2025-08-29T18:59:50.117616
490,2025-08-29T18:59:50.476473
491,2025-08-29T18:59:50.792393
492,2025-08-29T18:59:51.054548
493,2025-08-29T18:59:51.381981
494,2025-08-29T18:59:51.706595
495,2025-08-29T18:59:51.983983
496,2025-08-29T18:59:52.278687
497,2025-08-29T18:59:52.619359
498,2025-08-29T18:59:52.919184
499,2025-08-29T18:59:53.231017
