,durations_s
456,0.002791
457,0.002998
458,0.002826
459,0.003013
460,0.002796
461,0.002944
462,0.002718
463,0.002953
464,0.002991
465,0.00311
466,0.002761
467,0.002836
468,0.002928
469,0.002957
470,0.002974
471,0.002956
472,0.002794
473,0.003054
474,0.002969
475,0.003001
476,0.002946
477,0.002971
478,0.002984
479,0.002808
480,0.002927
481,0.00279
482,0.002821
483,0.002791
484,0.002778
485,0.002818
486,0.002965
487,0.002844
488,0.002838
489,0.002938
490,0.002812
491,0.002755
492,0.00294
493,0.002736
494,0.002733
495,0.002783
496,0.002818
497,0.002792
498,0.002736
499,0.003037
