,durations_s
456,0.261649
457,0.255159
458,0.253019
459,0.257643
460,0.256819
461,0.256287
462,0.252996
463,0.263086
464,0.255338
465,0.255525
466,0.257149
467,0.255332
468,0.254824
469,0.256487
470,0.258824
471,0.260762
472,0.254413
473,0.256752
474,0.252586
475,0.26243
476,0.250399
477,0.26693
478,0.259664
479,0.256733
480,0.258891
481,0.255921
482,0.254493
483,0.251592
484,0.257573
485,0.255355
486,0.256277
487,0.253627
488,0.254357
489,0.256905
490,0.255273
491,0.256102
492,0.251499
493,0.259546
494,0.259023
495,0.255453
496,0.255769
497,0.255744
498,0.258572
499,0.253527
