,durations_s,timestamps
138,0.057386,2025-08-29T18:11:30.127417
139,0.068344,2025-08-29T18:11:30.195835
140,0.058085,2025-08-29T18:11:30.253982
141,0.057167,2025-08-29T18:11:30.311208
142,0.057556,2025-08-29T18:11:30.368834
143,0.058177,2025-08-29T18:11:30.427075
144,0.057386,2025-08-29T18:11:30.484522
145,0.057591,2025-08-29T18:11:30.542178
146,0.057699,2025-08-29T18:11:30.599937
147,0.058125,2025-08-29T18:11:30.658119
148,0.058706,2025-08-29T18:11:30.716899
149,0.058321,2025-08-29T18:11:30.775287
150,0.064145,2025-08-29T18:11:30.839509
151,0.064647,2025-08-29T18:11:30.904223
152,0.056825,2025-08-29T18:11:30.961123
153,0.069529,2025-08-29T18:11:31.030723
154,0.065749,2025-08-29T18:11:31.096536
155,0.064706,2025-08-29T18:11:31.161312
156,0.06339,2025-08-29T18:11:31.224769
157,0.057553,2025-08-29T18:11:31.282387
158,0.067545,2025-08-29T18:11:31.350012
159,0.058125,2025-08-29T18:11:31.408203
160,0.058109,2025-08-29T18:11:31.466368
161,0.057922,2025-08-29T18:11:31.524354
162,0.05861,2025-08-29T18:11:31.583040
163,0.06834,2025-08-29T18:11:31.651452
164,0.064137,2025-08-29T18:11:31.715655
165,0.066663,2025-08-29T18:11:31.782384
166,0.058686,2025-08-29T18:11:31.841135
167,0.057635,2025-08-29T18:11:31.898827
168,0.057455,2025-08-29T18:11:31.956343
169,0.057456,2025-08-29T18:11:32.013858
170,0.057439,2025-08-29T18:11:32.071353
171,0.058013,2025-08-29T18:11:32.129428
172,0.058334,2025-08-29T18:11:32.187819
173,0.057466,2025-08-29T18:11:32.245352
174,0.058426,2025-08-29T18:11:32.303840
175,0.056763,2025-08-29T18:11:32.360662
176,0.057442,2025-08-29T18:11:32.418162
177,0.057736,2025-08-29T18:11:32.475954
178,0.057442,2025-08-29T18:11:32.533451
179,0.05668,2025-08-29T18:11:32.590190
180,0.056608,2025-08-29T18:11:32.646863
181,0.056723,2025-08-29T18:11:32.703658
182,0.058732,2025-08-29T18:11:32.762447
183,0.057312,2025-08-29T18:11:32.819818
184,0.057066,2025-08-29T18:11:32.876947
185,0.057403,2025-08-29T18:11:32.934415
186,0.057013,2025-08-29T18:11:32.991489
187,0.057842,2025-08-29T18:11:33.049390
188,0.056906,2025-08-29T18:11:33.106357
189,0.05806,2025-08-29T18:11:33.164478
190,0.058727,2025-08-29T18:11:33.223266
191,0.057429,2025-08-29T18:11:33.280760
192,0.057762,2025-08-29T18:11:33.338583
193,0.058002,2025-08-29T18:11:33.396643
194,0.058357,2025-08-29T18:11:33.455073
195,0.063357,2025-08-29T18:11:33.518506
196,0.057451,2025-08-29T18:11:33.576028
197,0.05776,2025-08-29T18:11:33.633847
198,0.0573,2025-08-29T18:11:33.691204
199,0.057375,2025-08-29T18:11:33.748635
200,0.057623,2025-08-29T18:11:33.808061
201,0.05726,2025-08-29T18:11:33.865379
202,0.057281,2025-08-29T18:11:33.922718
203,0.065339,2025-08-29T18:11:33.988127
204,0.058383,2025-08-29T18:11:34.046586
205,0.062232,2025-08-29T18:11:34.108913
206,0.065369,2025-08-29T18:11:34.174353
207,0.059352,2025-08-29T18:11:34.233778
208,0.069112,2025-08-29T18:11:34.302958
209,0.061591,2025-08-29T18:11:34.364622
210,0.057645,2025-08-29T18:11:34.422331
211,0.05796,2025-08-29T18:11:34.480346
212,0.057501,2025-08-29T18:11:34.537914
213,0.057883,2025-08-29T18:11:34.596018
214,0.066315,2025-08-29T18:11:34.662414
215,0.068478,2025-08-29T18:11:34.730973
216,0.065518,2025-08-29T18:11:34.796568
217,0.060734,2025-08-29T18:11:34.857385
218,0.068712,2025-08-29T18:11:34.926173
219,0.058313,2025-08-29T18:11:34.984571
220,0.061581,2025-08-29T18:11:35.046221
221,0.065584,2025-08-29T18:11:35.111916
222,0.058798,2025-08-29T18:11:35.170784
223,0.059324,2025-08-29T18:11:35.230166
224,0.057929,2025-08-29T18:11:35.288153
225,0.058496,2025-08-29T18:11:35.346712
226,0.057455,2025-08-29T18:11:35.404236
227,0.059391,2025-08-29T18:11:35.463694
228,0.071191,2025-08-29T18:11:35.534961
229,0.059728,2025-08-29T18:11:35.594762
230,0.057721,2025-08-29T18:11:35.652543
231,0.057793,2025-08-29T18:11:35.710394
232,0.060232,2025-08-29T18:11:35.770691
233,0.07019,2025-08-29T18:11:35.840952
234,0.068259,2025-08-29T18:11:35.909286
235,0.060849,2025-08-29T18:11:35.970197
236,0.058086,2025-08-29T18:11:36.028344
237,0.057192,2025-08-29T18:11:36.085605
238,0.057794,2025-08-29T18:11:36.143485
239,0.06241,2025-08-29T18:11:36.205976
240,0.062451,2025-08-29T18:11:36.268501
241,0.058331,2025-08-29T18:11:36.326920
242,0.067781,2025-08-29T18:11:36.394781
243,0.06799,2025-08-29T18:11:36.462848
244,0.068624,2025-08-29T18:11:36.531555
245,0.071286,2025-08-29T18:11:36.603108
246,0.068544,2025-08-29T18:11:36.671744
247,0.072393,2025-08-29T18:11:36.744210
248,0.065676,2025-08-29T18:11:36.809952
249,0.059965,2025-08-29T18:11:36.869984
250,0.060694,2025-08-29T18:11:36.930755
251,0.070972,2025-08-29T18:11:37.001803
252,0.068743,2025-08-29T18:11:37.070624
253,0.071295,2025-08-29T18:11:37.141990
254,0.061211,2025-08-29T18:11:37.203280
255,0.069407,2025-08-29T18:11:37.272756
256,0.063176,2025-08-29T18:11:37.336047
257,0.067718,2025-08-29T18:11:37.403836
258,0.067648,2025-08-29T18:11:37.471554
259,0.067542,2025-08-29T18:11:37.539177
260,0.067758,2025-08-29T18:11:37.607002
261,0.057425,2025-08-29T18:11:37.664484
